file_id,path,label,background_subtype,source_name,source_url,license,license_verified,attribution_required,recording_group_id,session_id,source_identity,location_description,environment_description,microphone,sample_rate_hz,channels,duration_seconds,format,size_bytes,sha256,event_start_seconds,event_end_seconds,annotation_confidence,annotator,split,training_eligible,previous_test_use,notes
aggressive_fire,raw/team_recorded/aggressive fire.mp3,fire,,,,team-owned,true,false,team_recorded_aggressive_fire,team_recorded_aggressive_fire,aranya-team,unknown,unknown,unknown,48000,1,9.136,MP3,351135,c256b27368e03c0ae7450b068bf1cc41ccd8f795186d184a44787a190b590085,,,1.0,team-labeling,,false,true,Excluded from initial four-class dataset; previous prototype/test use.
bonfire,raw/team_recorded/bonfire.mp3,fire,,,,team-owned,true,false,team_recorded_bonfire,team_recorded_bonfire,aranya-team,unknown,unknown,unknown,48000,2,21.6,MP3,720518,424d0ac97d38a7256a0f59074f4e904a689a084f38436b03e844f9a4ba6ec3c5,,,1.0,team-labeling,,false,true,Excluded from initial four-class dataset; previous prototype/test use.
burning_leaves,raw/team_recorded/burning leaves.mp3,fire,,,,team-owned,true,false,team_recorded_burning_leaves,team_recorded_burning_leaves,aranya-team,unknown,unknown,unknown,48000,1,12.32,MP3,553073,6c0cdc9407fdf0b3159eb9a1f047f9c075169470ef91dc5be6f3ca9608206628,,,1.0,team-labeling,,false,true,Excluded from initial four-class dataset; previous prototype/test use.
chainsaw_1,raw/team_recorded/chainsaw 1.mp3,chainsaw_logging,,,,team-owned,true,false,team_recorded_chainsaw_1,team_recorded_chainsaw_1,aranya-team,unknown,unknown,unknown,48000,2,44.284,MP3,1997110,0a8c1af2e64863c62eca29a046c1970e6c1838ea7acf1df78f1dc3ef510e117d,0,44.284,1.0,team-labeling,,false,true,Known chainsaw recording; held out because all current recordings previously saw prototype/test use.
chainsaw_2,raw/team_recorded/chainsaw 2.mp3,chainsaw_logging,,,,team-owned,true,false,team_recorded_chainsaw_2,team_recorded_chainsaw_2,aranya-team,unknown,unknown,unknown,48000,2,12.272,MP3,567764,4261925259628abd1e4147af5cc1e9e11594eeeac719f5b041f6fbf9e5ebb114,0,12.272,1.0,team-labeling,,false,true,Known chainsaw recording; held out because all current recordings previously saw prototype/test use.
final_all_audio_check,raw/team_recorded/fINAL ALL AUDIO CHECK .wav,unknown_mixed,,,,team-owned,true,false,team_recorded_final_all_audio_check,team_recorded_final_all_audio_check,aranya-team,unknown,unknown,unknown,48000,2,38.50514583333333,WAV,7421734,fd147b91b8c11dfb2095f686d525993ae3039b34f5a6463b8f8522101aeae848,,,0.0,team-labeling,,false,true,UNKNOWN/MIXED; quarantine until human review.
forest_ambience,raw/team_recorded/forest ambience.mp3,background,forest_ambience,,,team-owned,true,false,team_recorded_forest_ambience,team_recorded_forest_ambience,aranya-team,unknown,unknown,unknown,48000,2,43.844,MP3,1943549,1aebe9b7a2850cc17a104d4236fb690142f0941e68fe332d0bd2dca0492e888d,,,1.0,team-labeling,,false,true,Known background recording; held out because all current recordings previously saw prototype/test use.
gunshot_1,raw/team_recorded/gunshot 1.mp3,gunshot,,,,team-owned,true,false,team_recorded_gunshot_1,team_recorded_gunshot_1,aranya-team,unknown,unknown,unknown,48000,2,3.044,MP3,136203,ac74b17d3f054b25464782c50d1e1e73f12906e4dff9fdc85a04abd1d0053f3d,0,3.044,1.0,team-labeling,,false,true,Known gunshot recording; held out because all current recordings previously saw prototype/test use.
gunshot_2,raw/team_recorded/gunshot 2.mp3,gunshot,,,,team-owned,true,false,team_recorded_gunshot_2,team_recorded_gunshot_2,aranya-team,unknown,unknown,unknown,48000,2,13.772,MP3,631004,bb12ac2ae6b5656385b0d47a4f27b7607dcd26f9803b0dbab4cd9210e5660be6,0,13.772,1.0,team-labeling,,false,true,Known gunshot recording; held out because all current recordings previously saw prototype/test use.
gunshot_3,raw/team_recorded/gunshot 3.mp3,gunshot,,,,team-owned,true,false,team_recorded_gunshot_3,team_recorded_gunshot_3,aranya-team,unknown,unknown,unknown,48000,2,10.816,MP3,484279,f7fb293afec2bbddc732ce39182ad53bd61bed6d349b62c4caa1142129d9a243,0,10.816,1.0,team-labeling,,false,true,Known gunshot recording; held out because all current recordings previously saw prototype/test use.
gunshot_4,raw/team_recorded/gunshot 4.mp3,gunshot,,,,team-owned,true,false,team_recorded_gunshot_4,team_recorded_gunshot_4,aranya-team,unknown,unknown,unknown,48000,2,6.484,MP3,277106,f1c0ec86779f3e82f92532bf2608f008e326c02b175455350589101bdb8b184c,0,6.484,1.0,team-labeling,,false,true,Known gunshot recording; held out because all current recordings previously saw prototype/test use.
metal_clanking,raw/team_recorded/metal clanking.mp3,metal_tool_activity,,,,team-owned,true,false,team_recorded_metal_clanking,team_recorded_metal_clanking,aranya-team,unknown,unknown,unknown,48000,2,6.988,MP3,304136,56a7c76daab73ef2908c45b2ad14bb048ff679717f482edd22ee6515a769ef15,0,6.988,1.0,team-labeling,,false,true,Known metal tool activity recording; held out because all current recordings previously saw prototype/test use.
test_sound_gs_fa_cs,raw/team_recorded/test sound GS FA CS.wav,mixed_event,,,,team-owned,true,false,team_recorded_test_sound_gs_fa_cs,team_recorded_test_sound_gs_fa_cs,aranya-team,unknown,unknown,unknown,48000,2,50.083375,WAV,9641146,f9409fbfcd6077d4fc04d18fa6e951d848632d6ccbc4a1c6b33da7972caa56f7,,,0.0,team-labeling,,false,true,Mixed-event previous prototype test; development/test only; excluded from training.
