file_id,filename,label,status,training_eligible,previous_test_use,duration_seconds,sample_rate_hz,channels,format,size_bytes,sha256,recording_group_id,session_id,notes
aggressive_fire,aggressive fire.mp3,fire,excluded,false,true,9.136,48000,1,MP3,351135,c256b27368e03c0ae7450b068bf1cc41ccd8f795186d184a44787a190b590085,team_recorded_aggressive_fire,team_recorded_aggressive_fire,Excluded from initial four-class dataset.
bonfire,bonfire.mp3,fire,excluded,false,true,21.6,48000,2,MP3,720518,424d0ac97d38a7256a0f59074f4e904a689a084f38436b03e844f9a4ba6ec3c5,team_recorded_bonfire,team_recorded_bonfire,Excluded from initial four-class dataset.
burning_leaves,burning leaves.mp3,fire,excluded,false,true,12.32,48000,1,MP3,553073,6c0cdc9407fdf0b3159eb9a1f047f9c075169470ef91dc5be6f3ca9608206628,team_recorded_burning_leaves,team_recorded_burning_leaves,Excluded from initial four-class dataset.
chainsaw_1,chainsaw 1.mp3,chainsaw_logging,excluded,false,true,44.284,48000,2,MP3,1997110,0a8c1af2e64863c62eca29a046c1970e6c1838ea7acf1df78f1dc3ef510e117d,team_recorded_chainsaw_1,team_recorded_chainsaw_1,Known class but previous prototype/test use.
chainsaw_2,chainsaw 2.mp3,chainsaw_logging,excluded,false,true,12.272,48000,2,MP3,567764,4261925259628abd1e4147af5cc1e9e11594eeeac719f5b041f6fbf9e5ebb114,team_recorded_chainsaw_2,team_recorded_chainsaw_2,Known class but previous prototype/test use.
final_all_audio_check,fINAL ALL AUDIO CHECK .wav,unknown_mixed,quarantine,false,true,38.50514583333333,48000,2,WAV,7421734,fd147b91b8c11dfb2095f686d525993ae3039b34f5a6463b8f8522101aeae848,team_recorded_final_all_audio_check,team_recorded_final_all_audio_check,UNKNOWN/MIXED; human review required.
forest_ambience,forest ambience.mp3,background,excluded,false,true,43.844,48000,2,MP3,1943549,1aebe9b7a2850cc17a104d4236fb690142f0941e68fe332d0bd2dca0492e888d,team_recorded_forest_ambience,team_recorded_forest_ambience,Known class but previous prototype/test use.
gunshot_1,gunshot 1.mp3,gunshot,excluded,false,true,3.044,48000,2,MP3,136203,ac74b17d3f054b25464782c50d1e1e73f12906e4dff9fdc85a04abd1d0053f3d,team_recorded_gunshot_1,team_recorded_gunshot_1,Known class but previous prototype/test use.
gunshot_2,gunshot 2.mp3,gunshot,excluded,false,true,13.772,48000,2,MP3,631004,bb12ac2ae6b5656385b0d47a4f27b7607dcd26f9803b0dbab4cd9210e5660be6,team_recorded_gunshot_2,team_recorded_gunshot_2,Known class but previous prototype/test use.
gunshot_3,gunshot 3.mp3,gunshot,excluded,false,true,10.816,48000,2,MP3,484279,f7fb293afec2bbddc732ce39182ad53bd61bed6d349b62c4caa1142129d9a243,team_recorded_gunshot_3,team_recorded_gunshot_3,Known class but previous prototype/test use.
gunshot_4,gunshot 4.mp3,gunshot,excluded,false,true,6.484,48000,2,MP3,277106,f1c0ec86779f3e82f92532bf2608f008e326c02b175455350589101bdb8b184c,team_recorded_gunshot_4,team_recorded_gunshot_4,Known class but previous prototype/test use.
metal_clanking,metal clanking.mp3,metal_tool_activity,excluded,false,true,6.988,48000,2,MP3,304136,56a7c76daab73ef2908c45b2ad14bb048ff679717f482edd22ee6515a769ef15,team_recorded_metal_clanking,team_recorded_metal_clanking,Known class but previous prototype/test use.
test_sound_gs_fa_cs,test sound GS FA CS.wav,mixed_event,development_test,false,true,50.083375,48000,2,WAV,9641146,f9409fbfcd6077d4fc04d18fa6e951d848632d6ccbc4a1c6b33da7972caa56f7,team_recorded_test_sound_gs_fa_cs,team_recorded_test_sound_gs_fa_cs,Mixed-event previous prototype test; development/test only.
